case,file,col,qtype,ref_peak,R,Z,EP,EM,ES,R_h64,peak_diff,tol_b6,tol_src,band_arith_h64,band_ladder,band_ens,n_ens,band,step_h1_h8,step_h8_h64,arith_h1,arith_h8,flat,std_ratio,maxpt_diff,orig_in_ens,band_ens_p90,iso_ok,band_ok,passed
2479,t21,1,lin_acc,2.933,0.9273486047221101,0.9969829191896736,1.0,0.7432415549991038,0.8995356302320987,0.7392179766700748,0.016024548244118704,0.1,B.6,0.0013637913399249927,0.022161609273781094,1.0381861575178999,93,1.0381861575178999,0.008523695874531168,0.022161609273781094,0.021138765768837314,0.001704739174906203,False,0.08457991332155351,0.3003750426184794,True,0.7276508694169792,True,True,True
2479,t21,3,lin_acc,4.355,0.8877573794736923,0.9883309287127379,1.0,0.6054372614988596,0.8566877784441262,0.6725672327964912,0.0,0.1,B.6,0.0,0.10539609644087267,1.1556831228473017,93,1.1556831228473017,0.10539609644087267,0.07531572904707239,0.0,0.0,False,0.08581043681877323,0.36785304247990813,True,0.7499885189437422,True,True,True
2479,t21,4,lin_acc,4.587,0.92738625925862,0.9928751832099658,1.0,0.7917683170692689,0.8594126128038995,0.7809899409325087,0.0,0.1,B.6,0.0,0.06409417920209279,1.0712884238064095,93,1.0712884238064095,0.06409417920209279,0.04360148245040336,0.0,0.003924133420536253,False,0.08910569999209224,0.24198822759973843,True,0.6399825594070194,True,True,True
2479,t22,1,lin_vel,32.648,0.9967577018023761,1.0,1.0,0.9936958031947123,0.9900927058171675,0.9665949535478433,0.0,0.01,B.6,0.0,0.0002756677284979276,0.13703749081107572,93,0.13703749081107572,0.000214408233276311,6.12594952216166e-05,0.0,0.0,False,0.1519795580985596,0.014028424405782901,True,0.11285836804704727,True,True,True
2479,t22,3,lin_vel,80.005,0.9971570978205634,1.0,1.0,0.9941320550909751,0.9916534340118416,0.9823136620727095,0.0,0.01,B.6,0.0,4.99968751953614e-05,0.01791138053871624,93,0.01791138053871624,4.99968751953614e-05,0.0,0.0,0.0,False,0.16163371668479704,0.011324292231735518,True,0.012584213486657064,True,True,True
2479,t22,4,lin_vel,80.033,0.9973746895604805,1.0,1.0,0.9969509201608864,0.989922527641516,0.9765419141743827,0.0,0.01,B.6,0.0,4.9979383504365556e-05,0.018229980133195097,93,0.018229980133195097,4.9979383504365556e-05,0.0,0.0,0.0,False,0.1654335996796171,0.008384041582847076,True,0.012684767533392387,True,True,True
2479,t22,5,lin_vel,43.951,0.9963550681772508,1.0,1.0,0.9917754207079309,0.9899999201783227,0.9538572820851057,0.0,0.01,B.6,0.0,0.0040272121225910585,0.09492389251666639,93,0.09492389251666639,0.0040272121225910585,2.2752610862043398e-05,0.0,0.0,False,0.13562218323789893,0.02652954426520443,True,0.0709426406680167,True,True,True
2479,t22,7,lin_vel,81.476,0.9942061818445334,1.0,1.0,0.991731175720287,0.979299733502379,0.9486142958931236,0.0,0.01,B.6,0.0,0.00017182974127345223,0.011819431489027369,93,0.011819431489027369,0.00017182974127345223,0.0,0.0,0.0,False,0.16768755205587604,0.027652314792086016,True,0.009659286170160439,True,True,True
2479,t22,8,lin_vel,81.53,0.9965680206204865,1.0,1.0,0.9952661068389863,0.987573996263446,0.9656433114986135,0.0,0.01,B.6,0.0,0.00018398135655587597,0.011958788176131415,93,0.011958788176131415,0.00017171593278542615,1.2265423770449833e-05,0.0,0.0,False,0.17849137492076853,0.025708328222740096,True,0.009787808168772253,True,True,True
2479,t23,2,ang_disp,64.646,0.9993615990542848,1.0,1.0,0.9997583649096898,0.9970496303617336,0.9870583424195903,7.73443059121284e-05,0.0,none,0.0,0.0006032855861151731,0.6076168672462333,93,0.6076168672462333,0.00047953469665550384,0.00012375088945966922,0.00013921975064196303,1.546886118251361e-05,False,0.3578574305362265,0.0022584537326362157,True,0.5562633418927697,True,True,True
2479,t23,4,ang_disp,64.646,0.9993615990542848,1.0,1.0,0.9997583649096898,0.9970496303617336,0.9870583424195903,7.73443059121284e-05,0.0,none,0.0,0.0006032855861151731,0.6074621786344089,93,0.6074621786344089,0.00047953469665550384,0.00012375088945966922,0.00013921975064196303,1.546886118251361e-05,False,0.3578574305362265,0.0022584537326362157,True,0.5560251214305604,True,True,True
2479,t23,6,ang_disp,55.247,0.9990713497799716,1.0,1.0,0.9995323307160263,0.9958244181838309,0.9810210605538865,0.0001267037124187358,0.0,none,1.810053034549694e-05,0.0013394392455698602,0.9224392274693648,93,0.9224392274693648,0.0011403334117688795,0.00019910583380098077,0.00027150795518309716,3.620106069112249e-05,False,0.4579833599221746,0.0041088203884374515,True,0.9027639509837638,True,True,True
2479,t23,8,ang_disp,55.247,0.9990614987425451,1.0,1.0,0.9995323307160263,0.9957751629966987,0.9776937295965944,0.0001267037124187358,0.0,none,1.810053034549694e-05,0.0013394392455698602,0.9224392274693648,93,0.9224392274693648,0.0011403334117688795,0.00019910583380098077,0.00027150795518309716,3.620106069112249e-05,False,0.3987661792445279,0.0041088203884374515,True,0.9027639509837638,True,True,True
2479,t24,1,contact,16.633,0.9993689183469915,1.0,1.0,0.9998812009618447,0.9969633907731124,0.9887783735957218,0.0,0.0,none,0.0,0.00012024289063902433,0.5096494919737871,93,0.5096494919737871,6.012144531940537e-05,6.012144531961896e-05,0.00012024289063902433,0.0,False,0.3487861641224926,0.001382793242349634,True,0.4511513256778694,True,True,True
2479,t24,2,contact,50.0,1.0,1.0,1.0,1.0,1.0,0.9735718659141914,0.0,0.0,none,0.0,0.0,9.639800000000001,93,9.639800000000001,0.0,0.0,0.0,0.0,False,0.13054336190909568,0.0,True,7.818919999999999,True,True,True
2479,t24,3,contact,12.78,1.0,1.0,1.0,1.0,1.0,0.8693384743866596,0.0,0.0,none,0.0,0.026604068857589976,7.118935837245697,93,7.118935837245697,0.026604068857589976,0.0,0.0,0.0,False,0.027491687952155213,0.0,True,3.9010954616588402,True,True,True
2479,t24,4,contact,50.0,1.0,1.0,1.0,1.0,1.0,0.9733488734788579,0.0,0.0,none,0.0,0.0,9.639800000000001,93,9.639800000000001,0.0,0.0,0.0,0.0,False,0.13072320886967043,0.0,True,7.818919999999999,True,True,True
2479,t24,5,contact,41.5,1.0,1.0,1.0,1.0,1.0,0.9999933167680959,0.0,0.0,none,0.0,0.0,1.0012048192771084,93,1.0012048192771084,0.0,0.0,0.0,0.0,False,0.25167607524750935,0.0,True,1.0010457831325301,True,True,True
2479,t24,6,contact,10.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,none,0.0,0.0,1.0067619047619047,93,1.0067619047619047,0.0,0.0,0.0,0.0,False,0.25168757920448676,0.0,True,1.0054095238095238,True,True,True
2479,t24,8,contact,16.633,0.9993669187283937,1.0,1.0,0.9998812532099441,0.9969533404320233,0.9887762778774712,0.0,0.0,none,0.0,0.00012024289063902433,0.5121144712318884,93,0.5121144712318884,6.012144531940537e-05,6.012144531961896e-05,0.00012024289063902433,0.0,False,0.348786141839987,0.001382793242349634,True,0.4546624180845308,True,True,True
2479,t24,9,contact,50.0,1.0,1.0,1.0,1.0,1.0,0.9735718659141914,0.0,0.0,none,0.0,0.0,9.8034,93,9.8034,0.0,0.0,0.0,0.0,False,0.13054336190909568,0.0,True,7.522559999999988,True,True,True
2479,t24,10,contact,12.78,1.0,1.0,1.0,1.0,1.0,0.8693384743866596,0.0,0.0,none,0.0,0.026604068857589976,6.086071987480438,93,6.086071987480438,0.026604068857589976,0.0,0.0,0.0,False,0.027491687952155213,0.0,True,3.5935837245696356,True,True,True
2479,t24,11,contact,50.0,1.0,1.0,1.0,1.0,1.0,0.9733488734788579,0.0,0.0,none,0.0,0.0,9.8034,93,9.8034,0.0,0.0,0.0,0.0,False,0.13072320886967043,0.0,True,7.522559999999988,True,True,True
2479,t24,12,contact,41.5,1.0,1.0,1.0,1.0,1.0,0.9999933167680959,0.0,0.0,none,0.0,0.0,1.0012530120481928,93,1.0012530120481928,0.0,0.0,0.0,0.0,False,0.25167607524750935,0.0,True,1.0009156626506024,True,True,True
2479,t24,13,contact,10.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,none,0.0,0.0,1.0083809523809524,93,1.0083809523809524,0.0,0.0,0.0,0.0,False,0.25168757920448676,0.0,True,1.0043619047619048,True,True,True
2479,t25,2,contact,455.85,0.965194561568335,0.9985340105856059,1.0,0.9573621449102404,0.8715426417602228,0.8729053896417781,0.0,0.0,none,0.0,0.05431611275638926,0.2996380388285621,93,0.2996380388285621,0.05431611275638926,0.00114072611604703,0.0,0.0,False,0.07274663111058635,0.10040583525282441,True,0.18082263902599524,True,True,True
2479,t25,3,contact,136.76,0.961553395189571,0.998787703558054,1.0,0.9291078309100913,0.8810837379216548,0.8539477104650623,0.0,0.0,none,0.0,0.05432875109681178,0.4700935946183095,93,0.4700935946183095,0.05432875109681178,0.0010968119333136684,0.0,0.0,False,0.09179518317834233,0.10039485229599296,True,0.3230915472360339,True,True,True
2479,t25,4,contact,475.92,0.9651308408920383,0.9985838351533651,1.0,0.9564516052868263,0.8720349288666343,0.8723824822252844,0.0,0.0,none,0.0,0.05429483946881836,0.2931164901664144,93,0.2931164901664144,0.05429483946881836,0.001134644478063583,0.0,0.0,False,0.07342753774021991,0.10041603630862331,True,0.17301227096991084,True,True,True
